"filename", "language", "JSON with Comments", "CSS", "TypeScript React", "TypeScript", "JavaScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\README.md", "Markdown", 0, 0, 0, 0, 0, 26, 0, 0, 0, 21, 47
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\lib\signalr\dist\browser\signalr.js", "JavaScript", 0, 0, 0, 0, 3412, 0, 0, 0, 967, 332, 4711
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\libman.json", "JSON", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 16817, 0, 0, 1, 16818
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\package.json", "JSON", 0, 0, 0, 0, 0, 0, 74, 0, 0, 1, 75
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 26, 23, 1, 50
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\App.css", "CSS", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\App.test.tsx", "TypeScript React", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\App.tsx", "TypeScript React", 0, 0, 33, 0, 0, 0, 0, 0, 14, 8, 55
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\SignupPage\ReCaptcha.tsx", "TypeScript React", 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\SignupPage\SignupForm.tsx", "TypeScript React", 0, 0, 45, 0, 0, 0, 0, 0, 0, 8, 53
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\SignupPage\SignupPage.tsx", "TypeScript React", 0, 0, 56, 0, 0, 0, 0, 0, 0, 13, 69
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\SignupPage\emailConfimation\EmailConfirmationPage.tsx", "TypeScript React", 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\SignupPage\signupStyles.css", "CSS", 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\chatPage\AlertModal.tsx", "TypeScript React", 0, 0, 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\chatPage\ChatInput.tsx", "TypeScript React", 0, 0, 46, 0, 0, 0, 0, 0, 0, 7, 53
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\chatPage\ChatPage.tsx", "TypeScript React", 0, 0, 155, 0, 0, 0, 0, 0, 0, 13, 168
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\chatPage\ChatWindow.tsx", "TypeScript React", 0, 0, 99, 0, 0, 0, 0, 0, 0, 10, 109
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\chatPage\ConnectedFriends.tsx", "TypeScript React", 0, 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\chatPage\Message.tsx", "TypeScript React", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\chatPage\chatPageStyles.css", "CSS", 0, 189, 0, 0, 0, 0, 0, 0, 2, 40, 231
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\footer\Footer.tsx", "TypeScript React", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\footer\footerStyles.css", "CSS", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\FriendsNav.tsx", "TypeScript React", 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\FriendsPage.tsx", "TypeScript React", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\addFriend\AddFriend.tsx", "TypeScript React", 0, 0, 53, 0, 0, 0, 0, 0, 0, 5, 58
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\addFriend\SendRequest.tsx", "TypeScript React", 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\addFriend\UserCard.tsx", "TypeScript React", 0, 0, 38, 0, 0, 0, 0, 0, 0, 5, 43
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\addFriend\addFriendStyles.css", "CSS", 0, 41, 0, 0, 0, 0, 0, 0, 2, 3, 46
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\friendList\FriendCard.tsx", "TypeScript React", 0, 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\friendList\FriendList.tsx", "TypeScript React", 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\friendList\RemoveFriend.tsx", "TypeScript React", 0, 0, 40, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\friendList\friendListStyles.css", "CSS", 0, 43, 0, 0, 0, 0, 0, 0, 2, 5, 50
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\pendingRequests\PendingRequests.tsx", "TypeScript React", 0, 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\pendingRequests\RequestCard.tsx", "TypeScript React", 0, 0, 51, 0, 0, 0, 0, 0, 0, 7, 58
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\pendingRequests\RequestResponse.tsx", "TypeScript React", 0, 0, 46, 0, 0, 0, 0, 0, 0, 5, 51
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\pendingRequests\pendingRequestsStyles.css", "CSS", 0, 55, 0, 0, 0, 0, 0, 0, 4, 8, 67
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\header\ChatButton.tsx", "TypeScript React", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\header\Header.tsx", "TypeScript React", 0, 0, 48, 0, 0, 0, 0, 0, 0, 5, 53
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\header\HeaderDropdown.tsx", "TypeScript React", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\header\Notifications.tsx", "TypeScript React", 0, 0, 50, 0, 0, 0, 0, 0, 0, 4, 54
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\header\SubHeader.tsx", "TypeScript React", 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\header\headerStyles.css", "CSS", 0, 53, 0, 0, 0, 0, 0, 0, 0, 14, 67
"c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\HomePage.tsx", "TypeScript React", 0, 0, 52, 0, 0, 0, 0, 0, 10, 9, 71
