Date : 2022-01-24 07:46:01
Directory : c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src
Total : 135 files,  6006 codes, 92 comments, 881 blanks, all 6979 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript React |         75 |      3,552 |         69 |        465 |      4,086 |
| TypeScript       |         37 |      1,517 |          9 |        254 |      1,780 |
| CSS              |         23 |        937 |         14 |        162 |      1,113 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                             |        135 |      6,006 |         92 |        881 |      6,979 |
| components                                                                                                                                                    |         93 |      4,413 |         66 |        610 |      5,089 |
| components\SignupPage                                                                                                                                         |          5 |        162 |          0 |         32 |        194 |
| components\SignupPage\emailConfimation                                                                                                                        |          1 |         22 |          0 |          3 |         25 |
| components\chatPage                                                                                                                                           |          7 |        577 |          2 |         81 |        660 |
| components\footer                                                                                                                                             |          2 |         20 |          0 |          2 |         22 |
| components\friendsPage                                                                                                                                        |         14 |        523 |          8 |         68 |        599 |
| components\friendsPage\addFriend                                                                                                                              |          4 |        171 |          2 |         18 |        191 |
| components\friendsPage\friendList                                                                                                                             |          4 |        146 |          2 |         20 |        168 |
| components\friendsPage\pendingRequests                                                                                                                        |          4 |        181 |          4 |         26 |        211 |
| components\header                                                                                                                                             |          6 |        211 |          0 |         31 |        242 |
| components\homePage                                                                                                                                           |         12 |        459 |         18 |         75 |        552 |
| components\homePage\hooks                                                                                                                                     |          2 |         89 |          0 |         24 |        113 |
| components\homePage\news                                                                                                                                      |          2 |        124 |          0 |          8 |        132 |
| components\homePage\recentBooks                                                                                                                               |          3 |        113 |          0 |         19 |        132 |
| components\homePage\topBooks                                                                                                                                  |          3 |         57 |          8 |         10 |         75 |
| components\hooks                                                                                                                                              |          6 |        104 |          1 |         21 |        126 |
| components\itemPage                                                                                                                                           |          6 |        453 |          1 |         64 |        518 |
| components\itemPage\hooks                                                                                                                                     |          2 |         91 |          1 |         19 |        111 |
| components\listPage                                                                                                                                           |          4 |        257 |         20 |         27 |        304 |
| components\listPage\hooks                                                                                                                                     |          1 |         42 |          3 |          7 |         52 |
| components\loading                                                                                                                                            |          1 |          9 |          0 |          2 |         11 |
| components\loginPage                                                                                                                                          |          3 |        122 |          0 |         20 |        142 |
| components\main                                                                                                                                               |          3 |        182 |          0 |         12 |        194 |
| components\privateRoute                                                                                                                                       |          1 |         11 |          0 |          6 |         17 |
| components\profilePage                                                                                                                                        |         14 |        773 |          1 |        103 |        877 |
| components\profilePage\comments                                                                                                                               |          4 |        179 |          0 |         28 |        207 |
| components\profilePage\comments\hooks                                                                                                                         |          1 |         48 |          0 |         10 |         58 |
| components\profilePage\profileSettings                                                                                                                        |          6 |        261 |          0 |         41 |        302 |
| components\profilePage\profileSettings\profileInfo                                                                                                            |          2 |         90 |          0 |         13 |        103 |
| components\profilePage\profileSettings\profilePicture                                                                                                         |          3 |        157 |          0 |         24 |        181 |
| components\purchasedBooksPage                                                                                                                                 |          2 |        112 |          3 |         15 |        130 |
| components\searchPage                                                                                                                                         |          6 |        307 |         12 |         42 |        361 |
| components\searchPage\hooks                                                                                                                                   |          1 |         70 |          1 |         12 |         83 |
| components\updateBook                                                                                                                                         |          1 |        131 |          0 |          9 |        140 |
| cookies                                                                                                                                                       |          1 |         32 |          0 |          2 |         34 |
| entities                                                                                                                                                      |          9 |        202 |          0 |         17 |        219 |
| mappers                                                                                                                                                       |          3 |         88 |          0 |         20 |        108 |
| services                                                                                                                                                      |          9 |        261 |          4 |         70 |        335 |
| slices                                                                                                                                                        |         10 |        870 |          0 |        127 |        997 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                      | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\App.css                                                                        | CSS              |          9 |          0 |          1 |         10 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\App.test.tsx                                                                   | TypeScript React |          7 |          0 |          2 |          9 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\App.tsx                                                                        | TypeScript React |         33 |         14 |          8 |         55 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\SignupPage\ReCaptcha.tsx                                            | TypeScript React |         18 |          0 |          5 |         23 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\SignupPage\SignupForm.tsx                                           | TypeScript React |         45 |          0 |          8 |         53 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\SignupPage\SignupPage.tsx                                           | TypeScript React |         56 |          0 |         13 |         69 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\SignupPage\emailConfimation\EmailConfirmationPage.tsx               | TypeScript React |         22 |          0 |          3 |         25 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\SignupPage\signupStyles.css                                         | CSS              |         21 |          0 |          3 |         24 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\chatPage\AlertModal.tsx                                             | TypeScript React |         36 |          0 |          6 |         42 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\chatPage\ChatInput.tsx                                              | TypeScript React |         46 |          0 |          7 |         53 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\chatPage\ChatPage.tsx                                               | TypeScript React |        155 |          0 |         13 |        168 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\chatPage\ChatWindow.tsx                                             | TypeScript React |         99 |          0 |         10 |        109 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\chatPage\ConnectedFriends.tsx                                       | TypeScript React |         40 |          0 |          3 |         43 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\chatPage\Message.tsx                                                | TypeScript React |         12 |          0 |          2 |         14 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\chatPage\chatPageStyles.css                                         | CSS              |        189 |          2 |         40 |        231 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\footer\Footer.tsx                                                   | TypeScript React |         10 |          0 |          2 |         12 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\footer\footerStyles.css                                             | CSS              |         10 |          0 |          0 |         10 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\FriendsNav.tsx                                          | TypeScript React |         17 |          0 |          2 |         19 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\FriendsPage.tsx                                         | TypeScript React |          8 |          0 |          2 |         10 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\addFriend\AddFriend.tsx                                 | TypeScript React |         53 |          0 |          5 |         58 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\addFriend\SendRequest.tsx                               | TypeScript React |         39 |          0 |          5 |         44 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\addFriend\UserCard.tsx                                  | TypeScript React |         38 |          0 |          5 |         43 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\addFriend\addFriendStyles.css                           | CSS              |         41 |          2 |          3 |         46 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\friendList\FriendCard.tsx                               | TypeScript React |         34 |          0 |          5 |         39 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\friendList\FriendList.tsx                               | TypeScript React |         29 |          0 |          5 |         34 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\friendList\RemoveFriend.tsx                             | TypeScript React |         40 |          0 |          5 |         45 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\friendList\friendListStyles.css                         | CSS              |         43 |          2 |          5 |         50 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\pendingRequests\PendingRequests.tsx                     | TypeScript React |         29 |          0 |          6 |         35 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\pendingRequests\RequestCard.tsx                         | TypeScript React |         51 |          0 |          7 |         58 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\pendingRequests\RequestResponse.tsx                     | TypeScript React |         46 |          0 |          5 |         51 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\friendsPage\pendingRequests\pendingRequestsStyles.css               | CSS              |         55 |          4 |          8 |         67 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\header\ChatButton.tsx                                               | TypeScript React |          7 |          0 |          2 |          9 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\header\Header.tsx                                                   | TypeScript React |         48 |          0 |          5 |         53 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\header\HeaderDropdown.tsx                                           | TypeScript React |         23 |          0 |          4 |         27 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\header\Notifications.tsx                                            | TypeScript React |         50 |          0 |          4 |         54 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\header\SubHeader.tsx                                                | TypeScript React |         30 |          0 |          2 |         32 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\header\headerStyles.css                                             | CSS              |         53 |          0 |         14 |         67 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\HomePage.tsx                                               | TypeScript React |         52 |         10 |          9 |         71 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\homeStyles.css                                             | CSS              |         24 |          0 |          5 |         29 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\hooks\useFetchBooks.tsx                                    | TypeScript React |         42 |          0 |         12 |         54 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\hooks\useFetchNotifications.tsx                            | TypeScript React |         47 |          0 |         12 |         59 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\news\News.tsx                                              | TypeScript React |        103 |          0 |          6 |        109 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\news\newsStyles.css                                        | CSS              |         21 |          0 |          2 |         23 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\recentBooks\RecentBookCard.tsx                             | TypeScript React |         66 |          0 |          8 |         74 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\recentBooks\RecentBooks.tsx                                | TypeScript React |         17 |          0 |          3 |         20 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\recentBooks\recentBooksStyles.css                          | CSS              |         30 |          0 |          8 |         38 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\topBooks\TopBookCard.tsx                                   | TypeScript React |         24 |          8 |          4 |         36 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\topBooks\TopBooks.tsx                                      | TypeScript React |         16 |          0 |          3 |         19 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\homePage\topBooks\topBooksStyles.css                                | CSS              |         17 |          0 |          3 |         20 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\hooks\reduxHooks.tsx                                                | TypeScript React |          4 |          0 |          1 |          5 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\hooks\useConfirmEmail.tsx                                           | TypeScript React |         32 |          0 |          9 |         41 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\hooks\useFetch.tsx                                                  | TypeScript React |         23 |          0 |          3 |         26 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\hooks\useFetchById.tsx                                              | TypeScript React |         18 |          1 |          4 |         23 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\hooks\useFetchUsers.tsx                                             | TypeScript React |         21 |          0 |          2 |         23 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\hooks\useQuery.tsx                                                  | TypeScript React |          6 |          0 |          2 |          8 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\itemPage\AddProduct.tsx                                             | TypeScript React |        126 |          0 |         13 |        139 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\itemPage\BuyItemButton.tsx                                          | TypeScript React |         13 |          0 |          5 |         18 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\itemPage\ItemPage.tsx                                               | TypeScript React |        141 |          0 |         16 |        157 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\itemPage\hooks\useAddProduct.tsx                                    | TypeScript React |         52 |          0 |          9 |         61 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\itemPage\hooks\useMercadoPago.tsx                                   | TypeScript React |         39 |          1 |         10 |         50 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\itemPage\itemStyles.css                                             | CSS              |         82 |          0 |         11 |         93 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\listPage\DownloadModal.tsx                                          | TypeScript React |         41 |          0 |          3 |         44 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\listPage\ListPage.tsx                                               | TypeScript React |        127 |         17 |         10 |        154 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\listPage\hooks\useDownload.tsx                                      | TypeScript React |         42 |          3 |          7 |         52 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\listPage\listStyles.css                                             | CSS              |         47 |          0 |          7 |         54 |
| c:\Users\ivans\OneDrive\Documents\GitHub\bookshelf-client\bookshelf-client\src\components\loading\Loading.tsx                                                 | TypeScript React |          9 |          0 |          2 |         11 |
